Learning Cycle,N Folds,No. Observations,TP,TN,FP,FN
50,3,1000,650,292,33,25
50,3,1000,642,287,44,27
50,3,1000,640,302,39,19
50,5,600,392,168,22,18
50,5,600,393,172,23,12
50,5,600,378,179,25,18
50,5,600,400,160,26,14
50,5,600,363,197,25,15
50,10,300,189,95,9,7
50,10,300,206,78,8,8
50,10,300,193,94,11,2
50,10,300,203,80,10,7
50,10,300,186,92,11,11
50,10,300,195,87,14,4
50,10,300,193,79,19,9
50,10,300,207,76,12,5
50,10,300,176,103,14,7
50,10,300,184,94,11,11
100,3,1000,656,293,32,19
100,3,1000,642,294,37,27
100,3,1000,637,308,33,22
100,5,600,393,173,17,17
100,5,600,392,174,21,13
100,5,600,380,180,24,16
100,5,600,398,163,23,16
100,5,600,364,206,16,14
100,10,300,188,98,6,8
100,10,300,210,80,6,4
100,10,300,194,96,9,1
100,10,300,199,82,8,11
100,10,300,189,93,10,8
100,10,300,192,92,9,7
100,10,300,192,82,16,10
100,10,300,208,82,6,4
100,10,300,175,108,9,8
100,10,300,186,94,11,9
150,3,1000,655,302,23,20
150,3,1000,641,296,35,28
150,3,1000,642,309,32,17
150,5,600,391,177,13,19
150,5,600,393,177,18,12
150,5,600,383,182,22,13
150,5,600,401,169,17,13
150,5,600,361,205,17,17
150,10,300,186,96,8,10
150,10,300,209,79,7,5
150,10,300,193,97,8,2
150,10,300,202,83,7,8
150,10,300,187,93,10,10
150,10,300,191,94,7,8
150,10,300,193,85,13,9
150,10,300,209,83,5,3
150,10,300,180,106,11,3
150,10,300,184,96,9,11
