NN,N Folds,No. Observations,TP,TN,FP,FN
1,3,1000,540,338,17,105
1,3,1000,577,304,17,102
1,3,1000,575,294,28,103
1,5,600,327,206,9,58
1,5,600,337,190,6,67
1,5,600,350,185,9,56
1,5,600,346,184,17,53
1,5,600,342,175,17,66
1,10,300,161,108,2,29
1,10,300,165,98,7,30
1,10,300,168,103,3,26
1,10,300,177,88,2,33
1,10,300,178,89,4,29
1,10,300,175,95,6,24
1,10,300,177,89,7,27
1,10,300,174,94,11,21
1,10,300,172,89,10,29
1,10,300,176,85,8,31
3,3,1000,539,340,15,106
3,3,1000,584,306,15,95
3,3,1000,585,298,24,93
3,5,600,324,205,10,61
3,5,600,342,193,3,62
3,5,600,354,187,7,52
3,5,600,349,182,19,50
3,5,600,346,179,13,62
3,10,300,164,108,2,26
3,10,300,162,98,7,33
3,10,300,166,105,1,28
3,10,300,174,88,2,36
3,10,300,182,90,3,25
3,10,300,177,97,4,22
3,10,300,175,86,10,29
3,10,300,177,96,9,18
3,10,300,172,91,8,29
3,10,300,175,88,5,32
5,3,1000,538,334,21,107
5,3,1000,586,307,14,93
5,3,1000,586,298,24,92
5,5,600,321,206,9,64
5,5,600,340,192,4,64
5,5,600,355,185,9,51
5,5,600,353,183,18,46
5,5,600,350,180,12,58
5,10,300,160,106,4,30
5,10,300,165,100,5,30
5,10,300,164,103,3,30
5,10,300,177,88,2,33
5,10,300,183,90,3,24
5,10,300,173,96,5,26
5,10,300,176,89,7,28
5,10,300,176,95,10,19
5,10,300,178,94,5,23
5,10,300,175,87,6,32
10,3,1000,555,334,21,90
10,3,1000,586,308,13,93
10,3,1000,564,305,17,114
10,5,600,317,209,6,68
10,5,600,335,191,5,69
10,5,600,355,186,8,51
10,5,600,335,187,14,64
10,5,600,335,180,12,73
10,10,300,164,104,6,26
10,10,300,162,100,5,33
10,10,300,159,103,3,35
10,10,300,175,89,1,35
10,10,300,187,89,4,20
10,10,300,176,97,4,23
10,10,300,171,91,5,33
10,10,300,171,96,9,24
10,10,300,171,93,6,30
10,10,300,179,85,8,28
