C,N Folds,No. Observations,TP,TN,FP,FN
0.1,3,1000,668,232,95,5
0.1,3,1000,661,246,88,5
0.1,3,1000,656,253,84,7
0.1,5,600,401,144,52,3
0.1,5,600,401,148,49,2
0.1,5,600,384,168,44,4
0.1,5,600,407,150,36,7
0.1,5,600,389,158,49,4
0.1,10,300,210,69,20,1
0.1,10,300,191,84,23,2
0.1,10,300,196,78,24,2
0.1,10,300,205,74,21,0
0.1,10,300,197,82,18,3
0.1,10,300,187,92,20,1
0.1,10,300,211,69,18,2
0.1,10,300,196,81,18,5
0.1,10,300,198,82,16,4
0.1,10,300,191,84,25,0
0.25,3,1000,666,286,41,7
0.25,3,1000,657,287,47,9
0.25,3,1000,654,307,30,9
0.25,5,600,402,175,21,2
0.25,5,600,397,171,26,6
0.25,5,600,382,190,22,6
0.25,5,600,406,167,19,8
0.25,5,600,388,187,20,5
0.25,10,300,209,80,9,2
0.25,10,300,192,97,10,1
0.25,10,300,193,92,10,5
0.25,10,300,205,81,14,0
0.25,10,300,197,90,10,3
0.25,10,300,185,102,10,3
0.25,10,300,210,74,13,3
0.25,10,300,196,92,7,5
0.25,10,300,198,91,7,4
0.25,10,300,191,99,10,0
0.5,3,1000,666,305,22,7
0.5,3,1000,658,298,36,8
0.5,3,1000,651,318,19,12
0.5,5,600,402,180,16,2
0.5,5,600,396,178,19,7
0.5,5,600,382,195,17,6
0.5,5,600,404,174,12,10
0.5,5,600,388,194,13,5
0.5,10,300,210,83,6,1
0.5,10,300,191,98,9,2
0.5,10,300,191,96,6,7
0.5,10,300,205,83,12,0
0.5,10,300,197,90,10,3
0.5,10,300,186,106,6,2
0.5,10,300,211,79,8,2
0.5,10,300,194,95,4,7
0.5,10,300,198,92,6,4
0.5,10,300,190,102,7,1
1,3,1000,665,308,19,8
1,3,1000,659,306,28,7
1,3,1000,650,322,15,13
1,5,600,401,188,8,3
1,5,600,396,181,16,7
1,5,600,384,197,15,4
1,5,600,404,178,8,10
1,5,600,387,194,13,6
1,10,300,210,85,4,1
1,10,300,191,102,5,2
1,10,300,192,97,5,6
1,10,300,205,85,10,0
1,10,300,198,91,9,2
1,10,300,186,107,5,2
1,10,300,211,81,6,2
1,10,300,194,97,2,7
1,10,300,197,93,5,5
1,10,300,190,101,8,1
