Image,Accuracy,Error Rate,Correct Detections,Actual Detections,TP,FP,FN
images/image_00000011.jpg,0.5,0.5,3,6,3,0,3
images/image_00000015.jpg,0,1,0,7,0,3,7
images/image_00000025.jpg,0.6,0.4,3,5,3,1,2
images/image_00000030.jpg,0.6,0.4,3,5,3,0,2
images/image_00000032.jpg,0.6,0.4,3,5,3,0,2
images/image_00000035.jpg,0.429,0.571,3,7,3,1,4
images/image_00000059.jpg,0.333,0.667,3,9,3,0,6
images/image_00000069.jpg,0.222,0.778,2,9,2,0,7
images/image_00000070.jpg,0.333,0.667,3,9,3,0,6
images/image_00000077.jpg,0.333,0.667,3,9,3,0,6
images/image_00000096.jpg,0.333,0.667,3,9,3,0,6
images/image_00000099.jpg,0.333,0.667,3,9,3,1,6
images/image_00000121.jpg,0.286,0.714,2,7,2,0,5
images/image_00000126.jpg,0.286,0.714,2,7,2,0,5
images/image_00000133.jpg,0.167,0.833,1,6,1,0,5
images/image_00000157.jpg,0.6,0.4,3,5,3,0,2
images/image_00000178.jpg,0.4,0.6,2,5,2,1,3
images/image_00000204.jpg,0.6,0.4,3,5,3,0,2
images/image_00000227.jpg,0,1,0,7,0,1,7
images/image_00000231.jpg,0.5,0.5,3,6,3,1,3
images/image_00000242.jpg,0.2,0.8,1,5,1,2,4
images/image_00000244.jpg,0.6,0.4,3,5,3,0,2
images/image_00000256.jpg,0.125,0.875,1,8,1,2,7
images/image_00000266.jpg,0.143,0.857,1,7,1,2,6
images/image_00000269.jpg,0.286,0.714,2,7,2,1,5
images/image_00000280.jpg,0.286,0.714,2,7,2,1,5
images/image_00000288.jpg,0.375,0.625,3,8,3,0,5
images/image_00000290.jpg,0.3,0.7,3,10,3,0,7
images/image_00000299.jpg,0.182,0.818,2,11,2,0,9
images/image_00000308.jpg,0.4,0.6,2,5,2,0,3
images/image_00000336.jpg,0.111,0.889,1,9,1,1,8
images/image_00000340.jpg,0.111,0.889,1,9,1,1,8
images/image_00000349.jpg,0.111,0.889,1,9,1,2,8
images/image_00000354.jpg,0.2,0.8,2,10,2,0,8
images/image_00000366.jpg,0.125,0.875,1,8,1,0,7
images/image_00000383.jpg,0.182,0.818,2,11,2,1,9
images/image_00000399.jpg,0.444,0.556,4,9,4,0,5
images/image_00000410.jpg,0.273,0.727,3,11,3,0,8
images/image_00000414.jpg,0.364,0.636,4,11,4,0,7
images/image_00000417.jpg,0.3,0.7,3,10,3,0,7
images/image_00000420.jpg,0.3,0.7,3,10,3,0,7
images/image_00000421.jpg,0.3,0.7,3,10,3,1,7
images/image_00000429.jpg,0.1,0.9,1,10,1,1,9
images/image_00000434.jpg,0.167,0.833,2,12,2,1,10
images/image_00000438.jpg,0.273,0.727,3,11,3,1,8
images/image_00000457.jpg,0.25,0.75,3,12,3,0,9
images/image_00000458.jpg,0.231,0.769,3,13,3,0,10
images/image_00000468.jpg,0.167,0.833,2,12,2,2,10
images/image_00000475.jpg,0.111,0.889,1,9,1,2,8
images/image_00000477.jpg,0.1,0.9,1,10,1,1,9
images/image_00000491.jpg,0.273,0.727,3,11,3,0,8
images/image_00000507.jpg,0.231,0.769,3,13,3,0,10
images/image_00000543.jpg,0.154,0.846,2,13,2,0,11
images/image_00000545.jpg,0.231,0.769,3,13,3,0,10
images/image_00000555.jpg,0.143,0.857,2,14,2,0,12
images/image_00000560.jpg,0.25,0.75,3,12,3,0,9
images/image_00000568.jpg,0.154,0.846,2,13,2,0,11
images/image_00000585.jpg,0.2,0.8,2,10,2,1,8
images/image_00000588.jpg,0.333,0.667,3,9,3,0,6
images/image_00000593.jpg,0.25,0.75,2,8,2,2,6
images/image_00000598.jpg,0.222,0.778,2,9,2,2,7
images/image_00000603.jpg,0.222,0.778,2,9,2,1,7
images/image_00000609.jpg,0.25,0.75,2,8,2,2,6
images/image_00000646.jpg,0.111,0.889,1,9,1,1,8
images/image_00000648.jpg,0.25,0.75,3,12,3,0,9
images/image_00000652.jpg,0.167,0.833,2,12,2,1,10
images/image_00000653.jpg,0.25,0.75,3,12,3,0,9
images/image_00000671.jpg,0.167,0.833,2,12,2,2,10
images/image_00000679.jpg,0.3,0.7,3,10,3,0,7
images/image_00000706.jpg,0.364,0.636,4,11,4,0,7
images/image_00000723.jpg,0.3,0.7,3,10,3,0,7
images/image_00000739.jpg,0.5,0.5,4,8,4,0,4
images/image_00000740.jpg,0.571,0.429,4,7,4,0,3
images/image_00000743.jpg,0.571,0.429,4,7,4,0,3
images/image_00000748.jpg,0.111,0.889,1,9,1,1,8
images/image_00000758.jpg,0.143,0.857,1,7,1,0,6
images/image_00000778.jpg,0.2,0.8,1,5,1,1,4
images/image_00000786.jpg,0.5,0.5,2,4,2,2,2
images/image_00000789.jpg,0.4,0.6,2,5,2,1,3
images/image_00000806.jpg,0.75,0.25,3,4,3,0,1
images/image_00000826.jpg,0.25,0.75,2,8,2,0,6
images/image_00000827.jpg,0.5,0.5,4,8,4,0,4
images/image_00000833.jpg,0.333,0.667,2,6,2,0,4
images/image_00000835.jpg,0.667,0.333,4,6,4,0,2
images/image_00000846.jpg,0.222,0.778,2,9,2,1,7
images/image_00000857.jpg,0.25,0.75,2,8,2,1,6
images/image_00000859.jpg,0.25,0.75,2,8,2,1,6
images/image_00000870.jpg,0.2,0.8,2,10,2,2,8
images/image_00000877.jpg,0.2,0.8,2,10,2,2,8
images/image_00000886.jpg,0.222,0.778,2,9,2,1,7
images/image_00000899.jpg,0.333,0.667,3,9,3,0,6
images/image_00000911.jpg,0.333,0.667,3,9,3,0,6
images/image_00000934.jpg,0.6,0.4,3,5,3,0,2
images/image_00000943.jpg,0.143,0.857,1,7,1,0,6
images/image_00000948.jpg,0.286,0.714,2,7,2,1,5
images/image_00000957.jpg,0.4,0.6,2,5,2,2,3
images/image_00000968.jpg,0.333,0.667,2,6,2,2,4
images/image_00000975.jpg,0.286,0.714,2,7,2,1,5
images/image_00000985.jpg,0.25,0.75,1,4,1,2,3
images/image_00000991.jpg,0.25,0.75,1,4,1,1,3
