Accuracy,Error Rate,Correct Detections,Actual Detections,TP,FP,FN
0.333,0.667,2,6,2,0,4
0.143,0.857,1,7,1,3,6
0.6,0.4,3,5,3,0,2
0.6,0.4,3,5,3,0,2
0.6,0.4,3,5,3,0,2
0.429,0.571,3,7,3,0,4
0.444,0.556,4,9,4,0,5
0.222,0.778,2,9,2,0,7
0.333,0.667,3,9,3,0,6
0.444,0.556,4,9,4,0,5
0.222,0.778,2,9,2,1,7
0.222,0.778,2,9,2,0,7
0.286,0.714,2,7,2,0,5
0.286,0.714,2,7,2,0,5
0.167,0.833,1,6,1,1,5
0.4,0.6,2,5,2,1,3
0.4,0.6,2,5,2,0,3
0.6,0.4,3,5,3,1,2
0.286,0.714,2,7,2,1,5
0.167,0.833,1,6,1,1,5
0.2,0.8,1,5,1,2,4
0.4,0.6,2,5,2,1,3
0.25,0.75,2,8,2,1,6
0.286,0.714,2,7,2,2,5
0.429,0.571,3,7,3,1,4
0.143,0.857,1,7,1,2,6
0.375,0.625,3,8,3,1,5
0.2,0.8,2,10,2,1,8
0.364,0.636,4,11,4,0,7
0.8,0.2,4,5,4,0,1
0.222,0.778,2,9,2,0,7
0.222,0.778,2,9,2,1,7
0.111,0.889,1,9,1,2,8
0.2,0.8,2,10,2,0,8
0.375,0.625,3,8,3,0,5
0.273,0.727,3,11,3,0,8
0.333,0.667,3,9,3,0,6
0.182,0.818,2,11,2,0,9
0.273,0.727,3,11,3,0,8
0.3,0.7,3,10,3,0,7
0.2,0.8,2,10,2,1,8
0.2,0.8,2,10,2,0,8
0.3,0.7,3,10,3,0,7
0.167,0.833,2,12,2,1,10
0.182,0.818,2,11,2,1,9
0.167,0.833,2,12,2,0,10
0.231,0.769,3,13,3,1,10
0.167,0.833,2,12,2,2,10
0,1,0,9,0,1,9
0,1,0,10,0,1,10
0.273,0.727,3,11,3,0,8
0.231,0.769,3,13,3,0,10
0.154,0.846,2,13,2,1,11
0.308,0.692,4,13,4,0,9
0.214,0.786,3,14,3,0,11
0.333,0.667,4,12,4,0,8
0.231,0.769,3,13,3,1,10
0.1,0.9,1,10,1,1,9
0.222,0.778,2,9,2,0,7
0.375,0.625,3,8,3,1,5
0.222,0.778,2,9,2,0,7
0.111,0.889,1,9,1,2,8
0.375,0.625,3,8,3,0,5
0.333,0.667,3,9,3,0,6
0.25,0.75,3,12,3,0,9
0.25,0.75,3,12,3,0,9
0.167,0.833,2,12,2,0,10
0.167,0.833,2,12,2,1,10
0.3,0.7,3,10,3,0,7
0.273,0.727,3,11,3,0,8
0.3,0.7,3,10,3,0,7
0.25,0.75,2,8,2,0,6
0.429,0.571,3,7,3,1,4
0.429,0.571,3,7,3,1,4
0.333,0.667,3,9,3,0,6
0.286,0.714,2,7,2,0,5
0.6,0.4,3,5,3,1,2
0.5,0.5,2,4,2,1,2
0.6,0.4,3,5,3,1,2
0.75,0.25,3,4,3,0,1
0.375,0.625,3,8,3,0,5
0.5,0.5,4,8,4,0,4
0.333,0.667,2,6,2,0,4
0.333,0.667,2,6,2,1,4
0.111,0.889,1,9,1,1,8
0,1,0,8,0,2,8
0.25,0.75,2,8,2,1,6
0.1,0.9,1,10,1,1,9
0.3,0.7,3,10,3,0,7
0.222,0.778,2,9,2,1,7
0.222,0.778,2,9,2,1,7
0.333,0.667,3,9,3,0,6
0.4,0.6,2,5,2,2,3
0.571,0.429,4,7,4,0,3
0.429,0.571,3,7,3,0,4
0.6,0.4,3,5,3,0,2
0.333,0.667,2,6,2,2,4
0.286,0.714,2,7,2,1,5
0.25,0.75,1,4,1,2,3
0.25,0.75,1,4,1,2,3
